"ID_Hogar","P9","line","P10","P12","P14","P1","P50","P68","P82","P87","P90","P91","P92","P95","P96","P98","P100","P101","Estacion","Edad"
443470324,57,1,2,5,15,1,1,1,1,1,2,2,1,2,2,1,2,2,116,7
443470318,68,2,2,13,13,2,3,1,1,3,3,1,2,2,2,2,3,2,21,8
443470315,52,2,1,11,13,1,8,1,2,1,1,2,2,2,3,1,2,1,22,6
443470304,22,1,2,9,NA,1,1,1,1,1,1,2,2,1,2,1,1,2,116,3
443470297,22,1,1,10,NA,4,5,1,2,1,1,1,1,2,3,1,3,1,114,3
443462687,70,1,1,11,15,1,99,1,2,2,3,2,2,1,3,3,2,1,17,8
443462682,40,1,2,11,15,1,99,1,2,2,2,2,1,1,3,2,1,2,16,5
443462675,41,1,2,5,11,2,99,1,1,1,1,1,1,1,3,1,1,3,15,5
443462669,69,1,1,5,NA,1,99,1,1,2,2,2,2,2,3,2,3,3,12,8
443462666,40,1,2,5,11,1,99,1,2,2,2,2,2,1,3,3,2,1,19,5
443462643,41,1,2,11,11,1,99,1,2,1,2,1,1,1,3,1,1,2,112,5
443461380,45,1,2,11,12,1,5,1,2,2,2,2,2,1,3,2,2,2,116,6
443461290,46,2,1,3,15,1,4,2,2,2,2,1,3,2,3,2,2,2,21,6
443461246,48,1,1,5,11,2,4,1,2,1,2,1,1,1,2,3,2,1,114,6
443461230,63,1,1,5,15,3,5,1,2,1,2,2,1,1,3,2,2,1,114,7
443459209,42,1,2,7,NA,2,99,1,2,1,2,1,1,1,1,2,2,2,17,5
443459187,54,1,2,11,14,1,99,1,2,1,1,1,1,2,2,1,1,1,16,6
443459125,54,1,2,7,14,2,99,1,1,2,1,2,2,2,2,2,2,2,15,6
443459080,50,1,1,7,11,2,99,1,1,1,2,2,2,2,2,1,2,2,12,6
443459038,32,1,1,7,14,1,99,1,2,1,1,1,1,1,1,3,3,1,19,4
443459009,30,1,1,8,11,1,7,1,2,1,2,1,2,3,2,1,2,2,110,4
443458942,20,1,2,7,11,3,99,1,2,1,2,2,1,1,3,1,3,2,112,3
443452936,79,1,1,3,15,1,99,1,1,1,1,2,2,2,2,2,2,2,17,8
443452914,30,1,2,5,11,1,99,1,1,1,2,2,2,2,2,2,2,2,17,4
443452882,52,1,1,5,15,2,99,1,1,1,1,1,2,2,2,2,2,2,15,6
443452868,45,1,1,5,11,1,99,1,1,1,2,2,2,2,2,1,1,1,12,6
443452830,40,1,2,11,11,2,99,1,1,1,1,2,2,2,3,2,2,2,19,5
443452815,51,1,2,4,14,1,99,1,2,1,1,1,3,2,2,1,2,2,110,6
442823903,46,1,1,5,11,4,2,1,2,1,1,2,1,2,2,1,1,1,113,6
442823797,43,1,1,7,15,1,2,1,2,1,1,1,1,1,1,2,1,1,113,5
442823718,53,1,2,11,13,1,2,1,2,1,2,1,1,2,1,1,2,1,113,6
442823681,62,1,1,7,14,1,2,1,2,2,2,2,2,2,2,2,2,2,113,7
440598525,23,1,1,5,6,2,3,1,2,1,2,1,1,1,2,2,3,1,14,3
440598497,42,1,1,9,15,1,99,1,2,1,3,3,1,2,3,2,2,1,14,5
440598450,35,1,1,5,11,2,3,1,2,1,2,2,2,2,2,2,2,2,14,5
440598408,78,1,1,97,NA,2,4,1,1,2,2,2,2,2,2,2,2,2,14,8
440569467,62,1,1,4,15,1,9,1,2,2,1,1,1,1,1,1,2,2,115,7
440569410,82,1,2,5,NA,2,7,1,1,2,2,2,2,2,2,2,2,2,115,8
440569220,37,1,1,13,12,2,8,2,2,2,2,2,2,2,2,2,1,2,114,5
440569010,56,1,2,9,NA,1,9,1,1,1,1,1,2,2,2,1,1,2,115,7
440568965,25,1,1,11,11,2,7,1,2,1,3,1,1,2,3,1,3,1,115,4
440568911,25,1,2,11,11,2,5,1,2,1,3,1,1,2,3,1,2,1,115,4
440561451,42,1,1,7,15,1,5,1,1,1,2,1,1,1,3,1,1,1,14,5
440559226,37,1,1,5,14,2,5,1,1,1,1,1,1,1,3,1,1,1,115,5
440559094,23,1,1,5,14,1,5,1,2,2,2,2,2,1,3,2,2,2,115,3
440559000,55,1,1,8,14,2,4,1,2,2,1,2,1,1,3,2,2,1,115,7
440558912,24,1,1,11,11,2,10,1,2,2,2,2,1,1,3,1,2,2,115,3
440558869,24,1,1,5,14,2,4,1,2,2,2,1,1,1,3,3,3,2,115,3
440551064,56,1,2,11,14,1,4,1,2,1,3,1,1,3,3,1,3,2,14,7
440551006,62,1,1,3,15,1,2,1,2,1,2,2,1,1,2,1,1,1,14,7
440550937,50,1,1,3,15,1,7,1,2,1,2,1,1,2,2,1,2,1,14,6
440542670,73,1,1,3,15,1,6,1,1,2,2,1,1,3,3,3,3,3,14,8
440537907,63,2,1,6,11,2,5,2,2,1,1,1,1,1,1,1,1,1,28,7
440537189,58,2,2,11,15,1,5,1,1,1,3,2,1,1,3,1,3,2,28,7
440536945,78,2,1,6,NA,1,1,1,1,1,1,1,1,1,1,3,1,1,28,8
440530928,46,2,1,3,11,1,4,2,2,1,1,1,1,1,2,1,1,1,210,6
440528420,40,2,1,5,11,1,6,1,2,1,2,1,2,2,1,1,2,3,26,5
440528211,26,2,2,11,11,2,3,1,2,2,2,2,2,1,3,1,1,1,26,4
440528049,56,2,2,5,15,1,2,1,2,1,2,2,1,1,3,3,3,1,26,7
440527829,60,2,1,11,13,2,7,2,2,2,2,2,2,3,3,2,1,2,25,7
440523505,40,2,2,7,NA,2,3,1,2,2,2,2,2,2,1,2,2,3,210,5
440523470,35,2,1,7,6,1,4,1,2,1,1,2,1,1,3,3,2,1,210,5
440523447,42,2,1,7,15,1,3,1,2,2,2,2,1,2,3,3,2,1,210,5
440506737,56,2,2,7,10,1,7,1,1,2,2,2,2,3,3,2,1,2,28,7
440501214,31,2,1,7,11,2,8,1,2,1,1,1,1,1,3,3,2,2,210,4
440498908,54,2,1,9,14,1,99,1,2,2,2,1,1,1,3,3,2,1,21,6
440498802,44,1,1,2,14,1,99,1,2,1,1,1,2,1,1,1,1,1,116,5
