"","ID_Hogar","P9","Edad","P10","P12","P14","P1","P50","P82","P87","P90","P91","P92","P95","P96","P98","P100","P101"
"1",437975496,57,7,1,7,15,2,7,2,1,1,1,1,1,1,1,3,1
"2",442823681,62,7,1,7,14,1,2,2,2,2,2,2,2,2,2,2,2
"3",442823718,53,6,2,11,13,1,2,2,1,2,1,1,2,1,1,2,1
"4",442823797,43,5,1,7,15,1,2,2,1,1,1,1,1,1,2,1,1
"5",443461246,48,6,1,5,11,2,4,2,1,2,1,1,1,2,3,2,1
"6",439669426,60,7,2,97,8,2,7,2,2,2,2,2,2,3,2,2,2
"7",439633723,79,8,2,4,NA,3,4,2,1,3,1,1,1,1,2,2,1
"8",439546953,27,4,1,10,NA,3,2,2,2,2,2,1,1,2,2,2,2
"9",437956754,59,7,2,7,17,1,1,2,2,2,1,1,2,2,1,2,2
"10",439242946,28,4,1,11,11,1,6,2,2,2,2,1,1,3,2,2,1
"11",438853082,37,5,2,6,6,1,99,2,1,3,3,2,2,3,3,2,2
"12",440141907,44,5,2,11,11,3,6,2,2,2,2,1,1,3,3,2,1
"13",438747370,38,5,1,5,15,2,99,1,2,1,1,1,1,3,2,3,2
"14",443470297,22,3,1,10,NA,4,5,2,1,1,1,1,2,3,1,3,1
"15",440141941,30,4,1,6,11,2,7,2,1,3,1,3,2,2,2,2,2
"16",439230087,50,6,1,9,15,1,6,1,1,1,2,2,3,3,1,1,1
"17",438335194,43,5,2,8,15,2,99,1,1,3,3,2,2,2,2,2,2
"18",443462643,41,5,2,11,11,1,99,2,1,2,1,1,1,3,1,1,2
"19",438850837,35,5,2,7,15,2,99,1,1,1,2,1,2,2,2,2,2
"20",440142453,33,4,1,4,9,1,9,2,1,2,1,1,1,3,3,1,1
"21",438341439,63,7,2,5,NA,2,5,2,1,3,1,2,2,2,1,2,2
"22",438342760,32,4,2,9,11,1,4,2,1,2,2,1,2,2,1,3,1
"23",439701746,55,7,1,7,17,2,3,2,1,1,1,2,2,2,2,2,1
"24",437956762,30,4,2,7,NA,2,2,2,1,2,1,1,1,1,2,2,1
"25",438287237,58,7,1,4,14,1,4,2,1,1,1,3,3,2,3,1,1
"26",439221658,67,8,2,3,NA,1,8,1,2,2,1,1,2,1,1,2,2
"27",438341665,32,4,2,13,11,1,5,2,2,1,2,1,1,3,1,3,3
"28",438359603,54,6,1,3,11,1,4,2,1,2,2,1,3,3,3,3,2
"29",438589663,43,5,1,9,11,1,4,2,2,3,1,3,1,3,1,3,2
"30",438333453,38,5,1,7,11,2,4,2,1,3,1,1,1,3,1,3,1
"31",438341710,54,6,2,7,14,2,2,2,2,1,1,1,1,2,3,2,1
"32",438291229,76,8,2,5,NA,1,3,2,1,1,1,2,1,1,2,2,2
"33",439662376,70,8,1,7,15,1,2,2,3,1,1,2,1,3,3,2,1
"34",439691169,63,7,1,5,NA,1,6,2,1,1,1,2,3,3,1,1,1
"35",437970411,29,4,1,5,14,1,99,2,1,3,1,2,2,2,1,3,1
"36",440144194,35,5,1,11,11,1,8,2,3,2,1,1,2,2,2,2,1
"37",438599828,42,5,1,2,17,1,5,2,2,2,2,2,1,2,3,3,3
"38",438327418,62,7,1,5,NA,1,4,2,3,3,2,3,3,3,1,3,3
"39",438597190,26,4,1,11,NA,2,7,2,1,3,2,1,3,3,1,3,1
