"","ID_Hogar","P9","Edad","P10","P12","P14","P1","P50","P82","P87","P90","P91","P92","P95","P96","P98","P100","P101"
"1",437975496,57,"De 55 a 64 años","Hombre","Media completa (10° y 11°)","Trabajador independiente","Apartamento","$2.500.001 - $3.500.000","Arrendatario(a)","Aumentará","Aumentará","Aumentará","Aumentará","Aumentará","Aumentará","Aumentará","Disminuirá","Aumentará"
"2",442823681,62,"De 55 a 64 años","Hombre","Media completa (10° y 11°)","independientes no profesionales","Casa","$400.001 - $800.000","Arrendatario(a)","Permanecerá igual","Se mantendrá","Se mantendrá","Se mantendrá","Se mantendrá","Se mantendrá","Se mantendrá","Se mantendrá","Se mantendrá"
"3",442823718,53,"De 45 a 54 años","Mujer","Universitario completo","Profesional independiente","Casa","$400.001 - $800.000","Arrendatario(a)","Aumentará","Se mantendrá","Aumentará","Aumentará","Se mantendrá","Aumentará","Aumentará","Se mantendrá","Aumentará"
"4",442823797,43,"De 35 a 44 años","Hombre","Media completa (10° y 11°)","Trabajador independiente","Casa","$400.001 - $800.000","Arrendatario(a)","Aumentará","Aumentará","Aumentará","Aumentará","Aumentará","Aumentará","Se mantendrá","Aumentará","Aumentará"
"5",443461246,48,"De 45 a 54 años","Hombre","Secundaria completa","Empleado de empresa particular","Apartamento","$1.160.000 - $1.500.000","Arrendatario(a)","Aumentará","Se mantendrá","Aumentará","Aumentará","Aumentará","Se mantendrá","Disminuirá","Se mantendrá","Aumentará"
"6",439669426,60,"De 55 a 64 años","Mujer","Ninguno","Empleado doméstico","Apartamento","$2.500.001 - $3.500.000","Arrendatario(a)","Permanecerá igual","Se mantendrá","Se mantendrá","Se mantendrá","Se mantendrá","Disminuirá","Se mantendrá","Se mantendrá","Se mantendrá"
"7",439633723,79,"Mas de 65 años","Mujer","Secundaria incompleta",NA,"Cuarto(s) en inquilinato","$1.160.000 - $1.500.000","Arrendatario(a)","Aumentará","Disminuirá","Aumentará","Aumentará","Aumentará","Aumentará","Se mantendrá","Se mantendrá","Aumentará"
"8",439546953,27,"De 25 a 34 años","Hombre","Universitario incompleto",NA,"Cuarto(s) en inquilinato","$400.001 - $800.000","Arrendatario(a)","Permanecerá igual","Se mantendrá","Se mantendrá","Aumentará","Aumentará","Se mantendrá","Se mantendrá","Se mantendrá","Se mantendrá"
"9",437956754,59,"De 55 a 64 años","Mujer","Media completa (10° y 11°)","Vendedor informal","Casa","$0 - $400.000","Arrendatario(a)","Permanecerá igual","Se mantendrá","Aumentará","Aumentará","Se mantendrá","Se mantendrá","Aumentará","Se mantendrá","Se mantendrá"
"10",439242946,28,"De 25 a 34 años","Hombre","Universitario completo","Empleado de empresa particular","Casa","$2.000.001 - $2.500.000","Arrendatario(a)","Permanecerá igual","Se mantendrá","Se mantendrá","Aumentará","Aumentará","Disminuirá","Se mantendrá","Se mantendrá","Aumentará"
