"station","count","Percentage","no_support","percentage"
1,22,7.61245674740484,1,4.54545454545455
2,27,9.34256055363322,1,3.7037037037037
3,23,7.95847750865052,1,4.34782608695652
4,20,6.9204152249135,NA,0
5,21,7.26643598615917,1,4.76190476190476
6,15,5.19031141868512,NA,0
7,21,7.26643598615917,2,9.52380952380952
8,17,5.88235294117647,1,5.88235294117647
9,18,6.22837370242214,1,5.55555555555556
10,18,6.22837370242214,1,5.55555555555556
11,15,5.19031141868512,1,6.66666666666667
12,11,3.80622837370242,NA,0
13,17,5.88235294117647,1,5.88235294117647
14,17,5.88235294117647,5,29.4117647058824
15,14,4.84429065743945,1,7.14285714285714
16,13,4.49826989619377,1,7.69230769230769
