"station","count","Percentage.x","no_support","Percentage.y","percentage"
1,14,5.66801619433198,3,11.1111111111111,21.4285714285714
2,16,6.47773279352227,NA,NA,0
3,21,8.50202429149797,4,14.8148148148148,19.047619047619
4,21,8.50202429149797,2,7.40740740740741,9.52380952380952
5,23,9.31174089068826,5,18.5185185185185,21.7391304347826
6,23,9.31174089068826,1,3.7037037037037,4.34782608695652
7,21,8.50202429149797,2,7.40740740740741,9.52380952380952
8,27,10.9311740890688,3,11.1111111111111,11.1111111111111
9,27,10.9311740890688,4,14.8148148148148,14.8148148148148
10,28,11.336032388664,3,11.1111111111111,10.7142857142857
11,26,10.5263157894737,NA,NA,0
